Tension,Corriente
1133.05,127.237
1129.52,126.608
1095.07,124.089
1124.22,122.2
1132.17,118.422
1126.87,132.275
1116.27,121.57
1101.25,119.681
1116.27,125.348
1216.07,214.134
1117.15,124.089
1116.27,124.089
1116.27,123.459
1116.27,123.459
1115.39,124.089
1114.5,123.459
1113.62,124.719
1113.62,125.348
1114.5,124.089
1115.39,124.089
1115.39,123.459
1113.62,123.459
1115.39,123.459
1114.5,123.459
1114.5,122.83
1114.5,123.459
1115.39,122.2
1116.27,121.57
1116.27,122.2
1115.39,122.2
1115.39,122.83
1114.5,122.83
1114.5,122.83
1114.5,122.83
1114.5,123.459
1111.85,122.83
1110.09,122.83
1110.97,123.459
1110.97,124.089
1110.09,125.348
1110.97,124.089
1112.74,124.719
1113.62,124.089
1112.74,124.719
1113.62,125.348
1115.39,124.719
1116.27,124.719
1117.15,124.089
1118.03,124.089
1117.15,122.83
1117.15,122.83
1117.15,122.83
1116.27,122.83
1116.27,122.83
1116.27,121.57
1116.27,121.57
1116.27,121.57
1115.39,121.57
1116.27,122.2
1118.03,122.2
1117.15,122.83
1115.39,123.459
1116.27,123.459
1115.39,123.459
1116.27,123.459
1116.27,123.459
1116.27,124.089
1116.27,124.089
1116.27,123.459
1115.39,123.459
1114.5,122.83
1117.15,121.57
1118.03,121.57
1118.03,122.2
1117.15,122.83
1116.27,122.83
1117.15,123.459
1116.27,122.83
1112.74,122.2
1110.09,122.2
1105.67,122.83
1097.72,123.459
1088.01,122.2
1079.17,120.941
1069.46,119.681
1059.74,118.422
1049.14,117.162
1037.66,115.903
1027.06,115.273
1016.46,113.384
1005.87,112.125
996.15,110.236
986.434,108.977
976.718,107.717
967.886,107.088
955.521,106.458
943.156,105.198
929.907,103.939
917.542,102.68
905.177,102.05
893.695,100.791
881.33,99.5313
870.731,97.6422
859.249,96.3828
846.884,95.7531
834.519,93.8641
823.92,91.975
813.321,90.0859
803.606,89.4562
792.124,87.5672
780.642,87.5672
768.277,86.3078
756.795,85.6781
745.313,84.4188
735.597,82.5296
724.116,80.6406
712.634,80.0109
701.152,79.3812
690.553,78.1219
679.954,77.4922
667.589,74.9735
658.757,73.714
648.158,73.0843
637.559,71.825
626.077,71.1953
615.479,70.5656
603.997,69.3063
594.281,68.0469
582.799,66.7875
573.084,65.5281
562.485,63.639
551.003,62.3797
538.638,61.75
527.156,61.1203
515.674,59.2313
505.075,58.6016
494.476,56.7125
481.228,55.4531
469.746,54.1937
456.498,52.9344
444.132,51.675
434.417,49.786
425.585,47.8968
414.103,46.6375
402.621,45.3781
391.139,44.1188
381.423,44.7484
370.825,43.4891
358.459,42.8594
347.861,42.2297
338.145,40.9704
326.663,40.3406
315.181,39.0812
302.816,37.8219
290.451,36.5625
278.969,35.3031
266.604,32.7844
255.122,30.8953
245.406,29.0062
234.807,27.1172
221.559,26.4875
209.194,25.2282
197.712,23.9688
187.113,21.45
177.398,20.1906
166.799,19.5609
155.317,18.9313
144.718,18.3016
132.353,16.4125
121.754,15.1531
112.922,13.264
99.6736,13.264
88.1917,12.0047
77.5929,11.375
66.111,10.7453
53.7458,9.48598
43.1471,6.96715
30.7819,6.33754
21.9496,5.07813
9.58447,4.44842
-1.89757,3.1891
-11.613,1.92969
-24.8614,0.0406647
-36.3434,-0.589043
-46.9421,-1.84846
-58.4241,-3.10777
-69.0228,-3.73748
-80.5048,-4.99689
-92.87,-4.99689
-105.235,-6.25621
-118.484,-8.14533
-129.082,-10.0344
-138.798,-11.2938
-150.28,-11.9235
-161.762,-13.1828
-174.127,-13.8125
-186.492,-15.7015
-194.441,-16.9609
-205.923,-18.2204
-215.639,-19.4797
-225.354,-21.3688
-236.836,-22.6281
-248.318,-23.8875
-258.917,-25.1468
-269.515,-27.036
-279.231,-28.925
-289.83,-30.8141
-302.195,-31.4437
-314.56,-33.9625
-328.692,-34.5921
-341.057,-35.2219
-353.422,-36.4813
-364.021,-37.7406
-374.62,-39
-386.985,-39.6297
-400.233,-40.2594
-412.598,-40.889
-423.197,-42.1484
-430.263,-41.5187
-440.862,-42.7781
-451.46,-44.6672
-460.293,-45.9266
-470.891,-47.1859
-483.257,-48.4453
-494.738,-49.075
-503.571,-50.3343
-513.286,-51.5938
-526.535,-53.4828
-540.666,-54.7422
-551.265,-56.0016
-561.864,-56.6312
-573.346,-57.2609
-585.711,-57.8906
-597.193,-59.15
-607.792,-61.0391
-620.157,-62.2985
-630.755,-62.9281
-640.471,-64.8172
-653.719,-66.7062
-665.201,-67.9656
-677.567,-69.8547
-687.282,-71.7438
-698.764,-72.3734
-709.363,-73.0031
-719.962,-74.2625
-731.443,-75.5218
-743.809,-76.7813
-754.407,-77.411
-765.006,-78.0407
-774.722,-79.3
-783.554,-80.5594
-795.919,-80.5594
-807.401,-82.4484
-818,-84.3375
-825.949,-85.5969
-836.548,-86.2266
-848.913,-87.486
-860.395,-89.375
-870.993,-91.264
-881.592,-91.8937
-893.957,-93.1531
-908.089,-94.4125
-919.571,-96.3016
-931.936,-96.9313
-945.185,-97.5609
-955.783,-99.45
-966.382,-100.709
-979.63,-101.339
-991.996,-103.858
-1002.59,-105.117
-1014.08,-105.747
-1022.91,-107.006
-1033.51,-108.266
-1043.22,-109.525
-1054.7,-109.525
-1065.3,-112.044
-1077.67,-113.303
-1088.27,-114.563
-1098.87,-115.192
-1113.88,-115.192
-1125.36,-116.452
-1139.49,-118.97
-1156.28,-120.859
-1173.06,-122.119
-1187.19,-124.008
-1202.2,-124.008
-1216.34,-125.267
-1232.23,-127.156
-1247.25,-129.045
-1259.61,-130.934
-1271.1,-132.823
-1284.34,-133.453
-1294.94,-133.453
-1306.42,-134.713
-1318.79,-135.342
-1331.15,-136.602
-1340.87,-137.861
-1350.59,-138.491
-1360.3,-139.12
-1370.02,-140.38
-1381.5,-141.639
-1389.45,-143.528
-1396.51,-145.417
-1405.35,-146.047
-1415.94,-147.306
-1426.54,-149.195
-1438.03,-149.195
-1447.74,-150.455
-1456.57,-151.714
-1468.94,-153.603
-1482.19,-154.862
-1492.79,-154.862
-1505.15,-155.492
-1516.63,-157.381
-1527.23,-159.27
-1536.06,-159.9
-1544.9,-161.159
-1556.38,-162.419
-1567.86,-164.308
-1581.11,-164.938
-1591.71,-166.197
-1602.31,-168.086
-1613.79,-169.345
-1626.15,-170.605
-1635.87,-172.494
-1645.58,-174.383
-1655.3,-175.013
-1662.37,-176.272
-1670.31,-176.272
-1672.96,-176.902
-1673.85,-176.902
-1676.5,-176.902
-1672.08,-176.272
-1667.66,-176.272
-1662.37,-174.383
-1656.18,-173.753
-1647.35,-172.494
-1637.63,-172.494
-1626.15,-171.864
-1614.67,-170.605
-1604.07,-168.716
-1590.82,-168.086
-1581.99,-166.827
-1571.39,-165.567
-1558.14,-164.308
-1546.66,-162.419
-1533.41,-161.789
-1524.58,-159.9
-1513.1,-159.27
-1502.5,-157.381
-1491.9,-155.492
-1481.3,-154.233
-1469.82,-152.973
-1456.57,-151.714
-1446.86,-150.455
-1434.49,-148.566
-1425.66,-147.306
-1416.83,-146.677
-1409.76,-144.787
-1400.05,-144.158
-1391.21,-142.898
-1382.38,-142.269
-1374.43,-139.75
-1365.6,-138.491
-1355.89,-136.602
-1347.05,-136.602
-1337.34,-134.713
-1324.09,-133.453
-1310.84,-132.194
-1297.59,-130.934
-1284.34,-130.934
-1271.98,-128.416
-1260.5,-127.786
-1246.37,-126.527
-1230.47,-125.897
-1218.99,-124.638
-1203.09,-124.008
-1185.42,-123.378
-1169.52,-121.489
-1156.28,-120.859
-1143.03,-118.97
-1128.01,-118.341
-1109.46,-117.081
-1097.98,-115.822
-1087.38,-114.563
-1074.14,-113.303
-1063.54,-111.414
-1053.82,-109.525
-1041.46,-109.525
-1029.97,-107.006
-1020.26,-105.747
-1008.78,-103.858
-998.178,-103.228
-988.463,-101.339
-976.981,-100.08
-965.499,-98.8203
-954.017,-96.9313
-942.535,-95.6719
-932.819,-93.1531
-922.221,-93.1531
-909.855,-93.1531
-898.373,-92.5234
-886.891,-90.6344
-875.41,-89.375
-863.044,-88.7453
-852.446,-88.1156
-840.08,-87.486
-828.599,-86.2266
-817.117,-85.5969
-804.751,-84.3375
-793.269,-81.8187
-782.671,-80.5594
-772.955,-79.3
-763.24,-78.6703
-752.641,-77.411
-740.276,-76.1515
-729.677,-74.2625
-718.195,-73.6328
-707.596,-72.3734
-698.764,-71.1141
-687.282,-70.4844
-674.034,-69.8547
-662.552,-69.225
-651.07,-68.5954
-638.705,-66.7062
-628.106,-65.4469
-618.39,-64.1875
-609.558,-62.9281
-598.076,-61.6688
-586.594,-59.7796
-575.112,-58.5203
-563.63,-56.6312
-552.148,-55.3719
-541.549,-53.4828
-530.068,-50.964
-519.469,-50.3343
-507.104,-49.7047
-494.738,-48.4453
-482.373,-47.1859
-470.008,-46.5563
-460.293,-45.9266
-449.694,-44.6672
-439.095,-43.4079
-426.73,-42.1484
-414.365,-42.1484
-402.883,-41.5187
-392.284,-39.6297
-380.802,-39
-371.087,-36.4813
-361.371,-35.8516
-349.889,-34.5921
-338.407,-33.3328
-327.809,-31.4437
-316.326,-30.1844
-305.728,-28.925
-296.012,-27.6657
-282.764,-27.036
-273.048,-25.1468
-259.8,-24.5172
-248.318,-23.2578
-237.719,-21.9984
-228.004,-20.1094
-216.522,-19.4797
-205.923,-18.2204
-196.208,-16.9609
-184.726,-15.7015
-174.127,-13.8125
-159.995,-12.5531
-151.163,-10.6641
-140.564,-10.0344
-129.082,-8.77504
-115.834,-8.14533
-104.352,-5.6266
-91.9867,-5.6266
-79.6215,-3.73748
-69.0228,-3.10777
-59.3074,-2.47816
-48.7086,-1.21875
-37.2267,0.0406647
-27.5111,0.670273
-15.146,1.92969
-1.01431,3.1891
8.70122,3.81871
17.5335,5.70783
28.1323,6.96715
40.4974,8.22656
54.6291,10.1156
66.111,10.1156
76.7098,10.7453
89.9582,12.6344
103.207,14.5234
112.039,15.1531
123.521,16.4125
135.886,17.0422
148.251,18.3016
160.616,19.5609
170.332,20.8203
179.164,22.7093
189.763,23.9688
