Tension,Corriente
2.15244,278.812
2.44761,454.198
2.44685,458.721
2.45972,459.223
2.46501,451.183
2.47107,460.731
2.46653,455.706
2.45593,458.218
2.45215,453.696
2.44685,461.234
2.45215,461.234
2.44912,460.731
2.46426,465.254
2.48621,455.203
2.45442,458.218
2.45896,461.234
2.45745,460.229
2.45215,459.726
2.44912,455.203
2.46501,459.726
2.45442,455.203
2.46804,460.229
2.44761,460.731
2.44761,448.168
2.46047,456.208
2.44458,458.721
2.45366,455.706
2.44988,454.701
2.45215,454.701
2.4688,458.218
2.46653,454.701
2.45442,460.731
2.45518,453.696
2.47258,454.198
2.46501,453.193
2.45745,454.701
2.45669,460.731
2.45896,461.736
2.46274,458.218
2.46426,461.234
2.4635,456.208
2.46426,456.711
2.44458,460.731
2.4302,455.203
2.46501,455.706
2.45972,460.229
2.46047,455.706
2.46956,460.229
2.45593,452.69
2.46047,452.188
2.43474,457.716
2.44307,458.721
2.45215,457.213
2.46729,452.188
2.46123,452.188
2.47561,457.716
2.45063,455.706
2.45518,456.208
2.44382,459.726
2.44836,465.254
2.45896,458.218
2.43928,455.203
2.46729,457.213
2.45896,456.208
2.45518,452.188
2.44231,468.772
2.44534,459.223
2.44912,464.751
2.45593,458.721
2.45291,450.68
2.45593,459.726
2.46653,451.685
2.4635,455.706
2.44458,465.756
2.44761,459.726
2.45442,456.711
2.45518,455.706
2.44912,460.731
2.45518,457.213
2.44004,459.223
2.46956,452.69
2.45139,459.223
2.45215,454.198
2.45291,458.218
2.46123,455.706
2.44231,456.208
2.45593,454.198
2.4688,455.706
2.46729,454.701
2.46199,460.229
2.46274,456.711
2.44836,451.183
2.45291,458.721
2.45518,454.701
2.45896,462.741
2.46653,457.213
2.4688,452.69
2.44231,465.254
2.45745,464.751
2.4249,461.234
2.44382,453.696
2.45139,461.234
2.45215,459.726
2.47788,456.711
2.4635,455.203
2.46047,450.68
2.44912,457.213
2.44912,454.701
2.44685,458.218
2.45593,446.66
2.45972,454.701
2.45593,455.706
2.46577,456.711
2.45972,455.706
2.45593,453.193
2.44231,444.147
2.44761,455.706
2.46426,459.223
2.45745,454.198
2.46123,462.239
2.45139,454.701
2.45593,461.234
2.46123,458.218
2.45215,455.706
2.45745,461.234
2.45291,459.223
2.44836,461.234
2.45442,451.183
2.46123,454.701
2.45669,451.183
2.4635,460.229
2.45593,459.223
2.45063,455.706
2.42717,454.701
2.44988,457.213
2.45442,453.696
2.45139,454.198
2.47788,455.203
2.45518,453.696
2.45139,457.213
2.44761,456.711
2.43701,455.706
2.43853,456.711
2.4582,451.685
2.46653,457.213
2.47788,461.234
2.4635,457.213
2.45669,455.706
2.46123,454.198
2.44534,457.213
2.46047,462.239
2.44609,460.731
2.46123,455.706
2.46729,463.244
2.46804,458.218
2.46123,455.203
2.44231,467.767
2.44761,460.229
2.4408,457.213
2.44534,461.234
2.46123,454.198
2.45442,453.696
2.44912,452.69
2.45745,452.69
2.45139,457.213
2.44231,462.741
2.46123,461.234
2.45291,456.711
2.46653,456.711
2.4688,449.173
2.46047,456.711
2.45669,451.685
2.44231,455.706
2.46577,450.68
2.44988,456.711
2.43625,461.736
2.4635,457.716
2.47107,458.218
2.44912,455.203
2.46047,464.249
2.45745,454.198
2.45972,454.701
2.4582,462.239
2.44382,457.213
2.45669,458.218
2.45745,454.701
2.4741,457.213
2.48091,460.731
2.45442,454.701
2.45442,452.188
2.44458,454.198
2.45442,465.254
2.44382,460.229
2.45896,452.69
2.46729,454.701
2.4741,449.173
2.46199,454.198
2.45139,455.706
2.4408,453.193
2.44004,456.711
2.45972,453.696
2.4635,455.203
2.47107,459.223
2.45669,454.701
2.46956,452.188
2.45745,453.696
2.44609,462.239
2.45745,459.726
2.44534,456.208
2.46199,456.208
2.46426,457.213
2.46047,458.218
2.45669,456.711
2.4408,466.762
2.44004,459.223
2.47107,469.274
2.45215,456.711
2.45366,461.736
2.45745,456.208
2.45291,454.701
2.45745,456.711
2.45139,457.213
2.45063,456.208
2.45215,453.696
2.45896,454.198
2.4688,451.183
2.45669,455.706
2.4688,462.741
2.45215,456.208
2.45972,455.203
2.45442,457.716
2.46047,448.168
2.46426,454.198
2.45896,448.67
2.45669,457.213
2.45442,455.203
2.45972,452.69
2.45593,453.696
2.45745,458.218
2.46123,455.706
2.45139,457.213
2.45745,453.193
2.4582,459.726
2.46577,463.244
2.44685,455.706
2.4582,459.223
2.45366,455.706
2.4582,457.213
2.44382,458.721
2.44307,458.721
2.45442,453.193
2.46199,453.193
2.46274,453.696
2.45669,455.706
2.45291,458.218
2.44912,453.193
2.44609,457.716
2.45518,457.716
2.46274,459.223
2.46577,459.726
2.46501,454.198
2.47258,446.66
2.44836,456.711
2.45896,453.696
2.45215,462.741
2.4582,451.685
2.45896,458.721
2.46501,458.721
2.46123,455.203
2.45366,463.244
2.44836,455.203
2.46274,454.701
2.45518,459.223
2.45442,457.716
2.45896,455.706
2.44912,459.223
2.44761,455.203
2.45291,462.239
2.44609,456.711
2.44231,464.249
2.45896,456.208
2.45745,457.213
2.45366,455.706
2.45593,460.229
2.45593,454.701
2.4582,455.203
2.4635,454.701
2.47258,452.69
2.44912,455.706
2.44231,459.726
2.45215,458.218
2.44534,455.706
2.46123,457.716
2.46501,456.711
2.4635,455.203
2.46199,459.223
2.43853,458.721
2.44912,453.696
2.43625,458.721
2.45972,458.218
2.46653,459.726
2.47485,459.223
2.45896,457.716
2.45518,450.178
2.43777,454.198
2.44155,458.218
2.44307,461.234
2.44761,454.701
2.47183,455.203
2.45215,450.68
2.47031,455.203
2.45366,451.183
2.44458,456.208
2.43247,460.731
2.44912,454.701
2.45139,462.239
2.47258,457.213
2.45669,458.721
2.45896,455.706
2.45291,458.218
2.45518,459.726
2.44761,463.746
2.45442,460.731
2.44004,458.721
2.47258,454.701
2.47107,457.213
2.46123,461.736
2.43398,457.716
2.44988,454.701
2.47031,455.706
2.44761,459.223
2.46199,450.178
2.45518,457.716
2.46426,456.711
2.45442,458.218
2.44988,456.208
2.45896,455.203
2.44458,464.249
2.45745,459.223
2.44534,452.69
2.45593,454.701
2.46653,459.223
2.4582,454.701
2.4582,460.731
2.45745,454.701
2.45291,458.218
2.44307,461.736
2.4408,459.726
2.45593,456.711
2.46123,457.716
2.45139,458.218
2.46653,451.183
2.46047,459.726
2.45669,465.254
2.44231,459.223
2.43701,465.254
2.4635,459.223
2.4635,462.239
2.46804,459.726
2.45669,464.751
2.45291,457.213
2.44836,448.67
2.44912,459.223
2.43625,460.731
2.44761,457.213
2.46501,452.188
2.4688,454.701
2.47712,453.193
2.44836,454.701
2.43701,452.69
2.4408,458.721
2.45063,454.198
2.46426,459.726
2.45972,453.696
2.44912,456.208
2.4635,455.203
2.45972,456.711
2.45896,459.223
2.45518,461.234
2.45366,461.736
2.46047,458.218
