Tension,Corriente
0.340576,-862.957
0.336792,-855.921
0.0613037,-1039.35
0.0666016,-1034.83
0.0741699,-1041.86
0.0514648,-1040.35
0.0544922,-1036.33
0.0499512,-1036.33
0.0658447,-1034.32
0.05979,-1035.33
0.0590332,-1047.39
0.0499512,-1032.31
0.0628174,-1038.34
0.0650879,-1040.86
0.0696289,-1031.81
0.0643311,-1033.82
0.0544922,-1029.8
0.0613037,-1037.34
0.0469238,-1034.83
0.0567627,-1034.83
0.0696289,-1031.81
0.0537354,-1034.83
0.0522217,-1034.32
0.0613037,-1037.34
0.0613037,-1034.32
0.0431396,-1036.84
0.0522217,-1021.26
0.0476807,-1039.85
0.0650879,-1032.31
0.0666016,-1041.86
0.0681152,-1037.34
0.0628174,-1036.33
0.041626,-1036.33
0.05979,-1038.85
0.0401123,-1031.81
0.0628174,-1030.3
0.055249,-1032.82
0.0635742,-1040.35
0.0749268,-1039.85
0.0605469,-1036.84
0.046167,-1034.32
0.055249,-1032.82
0.055249,-1034.32
0.0393555,-1034.83
0.0605469,-1039.35
0.0688721,-1036.33
0.0726563,-1029.3
0.050708,-1038.34
0.0499512,-1034.32
0.0529785,-1036.84
0.0514648,-1044.88
0.0620605,-1037.34
0.055249,-1042.87
0.0476807,-1040.86
0.0688721,-1043.87
0.0582764,-1039.35
0.0635742,-1032.31
0.0567627,-1037.84
0.0529785,-1045.38
0.0522217,-1032.82
0.0529785,-1039.85
0.0514648,-1036.33
0.0643311,-1039.35
0.0620605,-1034.32
0.0613037,-1032.82
0.0635742,-1037.84
0.0847656,-1029.8
0.0491943,-1033.82
0.0234619,-1030.3
0.0590332,-1035.83
0.0529785,-1032.31
0.0635742,-1035.33
0.0650879,-1035.83
0.0628174,-1040.35
0.0499512,-1032.82
0.0454102,-1037.84
0.055249,-1040.86
0.050708,-1032.31
0.0514648,-1041.36
0.0658447,-1039.35
0.0681152,-1045.38
0.0544922,-1037.34
0.0643311,-1035.83
0.0438965,-1036.33
0.0431396,-1030.8
0.0575195,-1038.85
0.050708,-1034.32
0.0666016,-1034.32
0.0666016,-1037.84
0.0590332,-1042.36
0.0688721,-1037.34
0.0522217,-1037.34
0.0499512,-1032.31
0.0537354,-1035.33
0.0454102,-1039.85
0.0620605,-1030.8
0.0703857,-1038.34
0.0567627,-1036.84
0.0529785,-1031.31
0.0423828,-1034.83
