Tension,Corriente
805.373,973.537
-165.295,64.2687
191.529,100.161
386.723,98.2718
107.623,97.6422
-25.7446,97.0125
416.752,97.6422
317.831,97.0125
-0.13106,97.0125
391.139,96.3828
527.156,97.0125
161.5,95.7531
114.689,95.7531
529.805,96.3828
354.926,97.0125
75.8265,96.3828
527.156,95.1234
574.85,95.7531
209.194,95.7531
316.948,94.4938
638.442,94.4938
393.788,96.3828
171.215,94.4938
637.559,95.1234
603.997,95.1234
257.771,95.1234
536.871,94.4938
684.37,91.975
431.767,94.4938
333.729,93.2344
653.457,93.2344
635.793,92.6047
367.292,91.975
621.661,90.7156
614.595,90.0859
543.937,92.6047
590.748,92.6047
578.383,89.4562
570.434,90.7156
562.485,91.975
553.653,83.1594
538.638,83.1594
529.805,85.0485
519.207,80.6406
509.491,77.4922
495.36,81.2703
488.294,81.2703
477.695,74.3438
467.096,74.9735
454.731,79.3812
446.782,71.825
434.417,71.825
424.701,77.4922
414.986,76.2328
400.854,70.5656
395.555,73.714
387.606,75.6032
373.474,69.9359
366.408,70.5656
354.926,75.6032
341.678,72.4547
332.846,68.6766
322.247,71.825
308.999,74.3438
304.582,66.1579
286.035,67.4172
278.086,72.4547
273.669,67.4172
258.655,66.7875
248.939,70.5656
239.224,71.1953
228.625,66.1579
215.376,66.7875
203.895,70.5656
218.909,64.2687
184.463,63.639
172.982,69.9359
167.682,67.4172
154.434,63.0094
142.952,66.1579
132.353,65.5281
119.988,59.861
110.272,58.6016
104.09,63.639
98.7905,57.9719
83.7756,54.1937
73.1768,59.861
57.2787,59.2313
46.6799,52.3047
36.9646,54.8234
28.1323,58.6016
38.7309,61.1203
6.93471,51.0453
-1.89757,56.0828
-11.613,52.3047
-21.3285,47.2672
-27.5111,52.9344
-40.7596,54.1937
-54.008,49.1563
-63.7235,48.5265
-76.0887,54.8234
-83.1544,49.1563
-93.7532,47.8968
-109.651,52.9344
-114.067,52.9344
-127.316,46.6375
-137.915,50.4157
-144.98,51.0453
-152.046,58.6016
-169.711,44.1188
-179.426,49.786
-188.258,46.0078
-195.324,42.8594
-208.573,46.0078
-215.639,46.0078
-231.537,39.7109
-239.486,42.8594
-249.201,45.3781
-259.8,37.8219
-270.399,37.1922
-280.114,42.8594
-294.246,39.0812
-336.641,32.7844
-311.027,38.4515
-325.159,40.9704
-282.764,33.4141
-378.152,32.7844
-355.189,40.9704
-428.496,45.3781
-255.384,34.6735
-382.569,39.7109
-394.934,39.0812
-277.464,35.9328
-416.131,37.8219
-425.847,40.9704
-313.677,35.9328
-306.611,35.9328
-458.526,39.0812
-464.709,36.5625
-274.815,35.3031
-490.322,38.4515
-496.505,40.9704
-309.261,36.5625
-447.044,40.3406
-530.068,40.3406
-381.685,36.5625
-296.896,37.8219
-560.097,39.0812
-569.813,37.8219
-327.809,36.5625
-386.985,35.9328
-602.492,41.6
-380.802,36.5625
-425.847,37.1922
-631.639,40.9704
-545.083,35.9328
-359.605,35.3031
-662.552,38.4515
-670.501,39.0812
-416.131,37.1922
-609.558,37.1922
-704.063,42.2297
-479.724,37.1922
-463.826,35.9328
-736.743,39.0812
-735.86,37.1922
-447.927,38.4515
-770.305,40.9704
-775.605,40.9704
-503.571,38.4515
-622.806,38.4515
-810.051,40.3406
-583.061,37.8219
-479.724,38.4515
-840.08,39.7109
-897.49,46.6375
-515.936,39.0812
-752.641,38.4515
-886.891,42.2297
-566.28,39.0812
-582.178,40.3406
-910.739,40.3406
-730.56,38.4515
-515.936,39.7109
-860.395,39.0812
-676.683,39.0812
-560.981,40.9704
-717.312,39.7109
-797.686,38.4515
-616.624,37.8219
-556.564,38.4515
-946.068,40.3406
-876.293,40.3406
-554.798,38.4515
-812.7,40.3406
-1039.69,39.0812
-598.076,39.7109
-670.501,39.0812
-1022.03,39.7109
-698.764,40.3406
-541.549,39.7109
-917.804,38.4515
-992.879,39.0812
-592.777,39.0812
-783.554,39.7109
-1067.95,39.0812
-640.471,39.7109
-628.106,40.9704
-1006.13,39.0812
-851.562,39.7109
-581.295,40.9704
-884.242,39.7109
-1059.12,39.7109
-627.223,40.3406
-739.392,40.3406
-1069.72,40.3406
-695.231,39.7109
-593.66,40.3406
-975.214,40.3406
-991.996,39.0812
-623.69,41.6
-841.847,40.3406
-1116.53,41.6
-666.968,39.7109
-666.968,41.6
-1045.87,39.7109
-841.847,39.0812
-609.558,40.3406
-935.469,39.7109
-1067.95,40.9704
-657.252,40.9704
-788.853,40.3406
-1100.63,40.3406
-719.078,40.3406
-633.405,40.9704
-1010.54,40.9704
-996.412,40.3406
