Tension,Corriente
1246.1,454.045
1247.87,455.934
1248.75,456.564
1246.99,453.416
1246.99,449.637
1249.64,455.934
1246.99,454.045
1249.64,445.859
1247.87,451.527
1248.75,455.934
1247.87,450.897
1245.22,449.008
1246.1,449.637
1248.75,445.23
1246.1,449.008
1247.87,452.156
1246.1,449.637
1246.99,445.859
1246.1,449.637
1246.1,443.341
1246.99,443.341
1246.99,445.859
1245.22,439.563
1246.99,447.748
1247.87,443.341
1249.64,430.747
1246.1,441.452
1247.87,441.452
1246.99,440.822
1245.22,435.784
1247.87,443.341
1245.22,438.303
1246.99,442.711
1239.04,411.227
1226.67,381.002
1216.96,389.188
1210.77,387.298
1199.29,366.519
1189.58,367.148
1178.09,324.33
1171.91,348.888
1164.85,355.184
1154.25,336.923
1144.53,325.589
1137.47,340.072
1127.75,331.256
1116.27,321.811
1132.17,338.813
1107.44,349.517
1113.62,321.811
1077.41,311.736
1063.28,296.623
1060.63,308.588
1047.38,306.069
1039.43,295.364
1027.95,303.55
1020,304.809
1012.93,295.994
999.683,297.883
995.266,283.4
982.018,263.88
979.368,295.364
967.886,280.881
953.755,266.398
944.922,260.731
937.857,270.806
927.258,260.102
916.659,250.027
905.177,231.136
901.644,239.322
887.513,229.247
880.447,211.616
869.848,207.838
862.782,195.873
851.3,172.575
845.118,175.094
834.519,148.647
827.453,154.944
815.971,163.759
809.789,159.981
797.423,157.463
787.708,166.908
777.109,198.392
769.16,199.652
759.445,207.838
748.846,202.8
740.014,225.469
731.181,227.987
718.816,227.358
711.75,239.952
697.619,250.027
693.203,241.841
681.721,248.138
675.538,238.063
664.939,244.989
657.873,253.175
645.508,244.359
636.676,233.025
629.61,258.213
620.778,252.545
608.413,249.397
599.581,232.395
586.332,218.542
579.266,237.433
571.317,238.063
560.718,226.728
551.003,233.655
543.937,241.211
531.572,228.617
528.039,236.803
516.557,220.431
505.075,225.469
495.36,230.506
488.294,224.839
475.929,205.948
470.629,232.395
460.031,222.32
449.432,208.467
440.599,205.948
430.884,217.283
420.285,205.319
412.336,199.022
400.854,193.355
393.788,203.43
389.372,274.584
372.591,188.947
364.642,176.983
354.926,173.205
346.977,175.094
340.795,188.317
330.196,168.167
319.597,145.498
310.765,166.908
302.816,148.647
291.334,127.237
283.385,120.311
276.319,120.941
263.071,100.791
253.355,80.0109
242.757,49.786
233.924,35.3031
227.742,20.1906
215.376,-16.9609
206.544,-12.5531
194.179,-25.7765
183.58,-3.73748
171.215,13.8937
162.383,19.5609
151.784,12.6344
143.835,51.0453
133.236,43.4891
123.521,41.6
115.572,40.9704
107.623,59.2313
99.6736,49.1563
91.7246,57.9719
82.009,41.6
74.9433,66.7875
65.2278,66.7875
56.3955,58.6016
48.4465,69.3063
40.4974,76.8625
28.1323,62.3797
