Tension,Corriente
27.515,-75.220
26.027,-73.056
-835.489,-632.593
-803.498,-633.674
-796.803,-510.295
-794.571,-392.327
-789.363,-328.472
-797.547,-312.238
-783.411,-285.182
-758.861,-259.206
-765.557,-253.796
-747.701,-238.643
-732.822,-227.820
-743.981,-216.999
-744.725,-207.257
-729.846,-202.929
-718.687,-199.683
-700.831,-195.353
-692.648,-186.695
-706.039,-189.941
-693.392,-187.777
-668.840,-169.378
-662.888,-131.499
-668.840,-175.872
-659.168,-168.296
-645.033,-165.049
-629.410,-161.802
-650.985,-156.391
-633.129,-156.391
-624.202,-155.309
-616.018,-152.062
-604.115,-146.650
-595.188,-143.404
-596.675,-145.568
-578.076,-146.650
-584.772,-145.568
-584.028,-146.650
-558.733,-144.486
-555.013,-143.404
-531.206,-137.992
-537.158,-139.074
-531.950,-142.321
-545.341,-141.239
-505.167,-128.252
-514.095,-93.619
-508.887,-140.157
-487.312,-134.745
-485.080,-129.334
-488.799,-130.416
-472.432,-139.074
-473.921,-127.169
-460.528,-127.169
-439.698,-122.840
-438.954,-127.169
-441.186,-127.169
-430.026,-126.087
-432.258,-123.923
-424.074,-120.676
-412.171,-120.676
-399.523,-119.594
-392.084,-120.676
-386.132,-119.594
-389.108,-118.511
-374.228,-117.429
-368.276,-126.087
-366.789,-135.828
-359.349,-125.005
-347.445,-113.100
-325.126,-79.549
-329.590,-122.840
-325.870,-119.594
-333.310,-119.594
-315.455,-119.594
-293.880,-112.018
-286.440,-110.935
-305.039,-106.606
-305.039,-115.265
-258.913,-118.511
-278.256,-110.935
-256.681,-110.935
-237.338,-104.442
-234.362,-108.771
-226.922,-102.277
-231.386,-104.442
-241.057,-107.688
-209.067,-107.688
-198.651,-103.359
-207.579,-106.606
-187.492,-103.359
-184.516,-113.100
-180.052,-114.182
-171.868,-105.524
-194.931,-68.727
-174.844,-104.442
-135.414,-102.277
-137.646,-96.866
-148.062,-99.030
-127.231,-95.783
-124.255,-95.783
-118.303,-97.948
-100.447,-93.619
-104.911,-93.619
-94.496,-89.290
-72.921,-91.454
-90.032,-86.043
-91.520,-92.537
-66.969,-88.208
-53.577,-89.290
-37.210,-84.961
-34.234,-81.714
-47.626,-83.878
-32.746,-76.303
-20.099,-83.878
-23.819,-75.220
-14.147,-64.397
3.708,-23.271
20.076,-27.600
17.844,-25.436
14.124,4.868
26.027,11.362
46.115,21.102
56.530,54.653
55.786,100.108
56.530,102.273
63.970,144.482
73.641,150.975
77.361,195.348
79.593,212.664
98.193,241.887
104.888,279.766
98.193,281.930
105.632,304.659
112.328,305.742
128.696,319.810
151.759,330.633
151.014,316.563
145.807,319.810
156.966,302.493
153.990,304.659
166.637,301.412
177.053,334.962
184.493,290.589
197.141,281.930
200.861,277.602
190.445,273.273
206.812,272.190
223.180,263.533
234.339,263.533
242.523,253.791
243.267,254.873
242.523,247.297
256.658,240.804
279.721,249.463
267.074,242.969
277.489,242.969
289.393,239.723
301.296,238.640
301.296,239.723
302.784,244.050
309.480,245.133
335.519,240.804
318.408,241.887
328.823,240.804
340.726,239.723
339.239,240.804
360.069,250.544
371.973,252.710
371.973,284.096
384.621,324.139
399.501,281.930
390.573,294.919
394.293,297.083
409.916,310.069
415.867,314.399
430.747,324.139
440.419,329.551
448.602,344.702
450.834,349.032
453.066,347.949
457.530,349.032
459.762,355.525
475.385,351.196
476.873,356.608
497.705,366.348
498.448,362.019
493.240,364.184
519.279,355.525
520.768,359.855
507.376,367.431
527.463,349.032
543.086,347.949
543.086,333.879
560.198,328.469
557.966,321.975
554.246,318.728
586.237,334.962
591.444,368.512
584.005,308.988
595.164,305.742
595.164,294.919
599.628,292.753
619.715,298.165
619.715,288.425
618.972,275.437
665.841,277.602
647.242,278.683
640.546,278.683
645.754,259.203
670.305,270.026
662.865,259.203
686.672,262.450
678.489,254.873
694.856,250.544
703.783,251.627
698.576,247.297
714.943,247.297
724.615,240.804
732.055,239.723
735.774,237.557
739.495,228.900
754.374,229.981
762.558,228.900
786.365,267.860
778.925,232.146
785.620,240.804
796.036,227.817
793.060,234.310
802.732,220.241
807.939,226.734
823.563,227.817
833.234,227.817
833.978,232.146
820.587,228.900
841.419,231.064
862.249,229.981
868.945,226.734
880.103,245.133
871.921,235.393
875.641,229.981
889.773,227.817
901.683,226.734
891.263,227.817
901.683,201.843
900.192,186.691
880.852,183.444
865.969,178.032
861.506,181.278
862.249,215.911
863.737,189.937
852.578,168.291
833.978,176.950
815.380,169.374
813.891,171.538
818.356,168.291
806.452,159.634
795.292,162.881
785.620,165.045
787.852,159.634
780.413,158.551
765.534,158.551
766.278,145.564
764.045,153.141
756.606,156.387
740.239,143.399
734.287,152.058
727.591,150.975
733.543,149.892
731.311,144.482
700.808,149.892
702.296,144.482
704.528,140.153
683.697,135.824
679.233,114.178
671.793,131.494
664.353,148.811
678.489,188.855
656.170,136.906
634.594,137.988
639.059,133.659
631.619,130.412
621.203,133.659
623.435,131.494
607.068,134.741
607.068,127.165
608.555,132.577
578.053,127.165
568.381,131.494
573.589,128.247
577.309,128.247
561.686,126.083
555.734,117.425
537.135,123.918
533.415,118.507
537.135,118.507
520.023,120.672
528.207,119.589
525.975,117.425
499.936,108.767
490.264,106.602
471.666,102.273
467.945,109.849
487.288,134.741
478.361,117.425
446.370,110.931
451.578,103.355
448.602,106.602
435.210,106.602
421.075,104.437
426.283,96.862
417.356,104.437
420.331,88.203
406.196,100.108
392.804,94.697
370.486,96.862
386.108,95.779
370.486,89.286
376.437,92.533
360.069,88.203
337.751,83.874
341.471,87.121
346.678,73.052
315.432,74.134
331.799,75.216
335.519,69.805
306.504,64.393
292.369,57.900
287.161,53.571
270.050,90.368
287.904,64.393
278.977,61.146
251.450,57.900
254.426,57.900
243.267,51.406
232.851,47.077
244.011,54.653
226.899,48.159
206.068,45.995
214.996,42.748
197.141,29.760
181.517,36.254
223.180,36.254
190.445,35.172
174.078,34.090
177.797,27.596
153.246,9.197
152.502,13.526
154.734,-4.872
151.014,-7.037
145.063,-27.600
133.903,-33.012
101.168,-63.315
110.840,-121.758
105.632,-133.663
89.265,-182.365
99.680,-193.188
107.120,-213.751
78.849,-293.839
57.274,-329.555
81.081,-375.011
48.347,-387.998
31.235,-403.150
31.979,-450.770
20.820,-498.389
34.211,-484.320
23.796,-512.459
5.196,-499.472
-4.475,-505.966
2.220,-483.239
-9.683,-478.909
-8.195,-472.416
-20.099,-442.112
-30.514,-433.453
-43.906,-412.890
-43.162,-400.984
-53.577,-394.491
-60.273,-373.928
-57.297,-362.024
-75.153,-350.118
-81.848,-346.871
-96.727,-336.048
-97.472,-336.048
-93.751,-299.252
-95.240,-262.453
-109.375,-302.498
-135.414,-292.758
-136.902,-284.099
-131.694,-286.265
-133.182,-277.606
-139.134,-275.442
-162.940,-265.702
-162.197,-263.536
-188.979,-258.125
-184.516,-259.206
-189.724,-249.466
-191.955,-251.632
-180.796,-242.973
-210.555,-236.479
-211.299,-236.479
-223.946,-239.726
-235.850,-232.150
-236.594,-231.067
-231.386,-226.739
-243.290,-226.739
-270.072,-232.150
-246.266,-229.986
-279.744,-229.986
-284.208,-224.574
-277.512,-202.929
-289.416,-183.448
-308.015,-221.327
-320.663,-213.751
-332.566,-210.504
-322.894,-205.093
-305.783,-205.093
-338.518,-202.929
-356.373,-201.847
-357.117,-198.600
-377.948,-194.270
-352.654,-204.010
-362.325,-198.600
-393.571,-196.435
-391.339,-199.683
-394.315,-194.270
-414.402,-204.010
-415.147,-193.188
-421.098,-192.106
-426.306,-189.941
-425.562,-192.106
-433.746,-193.188
-466.480,-196.435
-455.321,-197.517
-459.041,-193.188
-479.128,-183.448
-476.152,-143.404
-482.104,-201.847
-494.008,-197.517
-502.935,-191.024
-506.655,-186.695
-523.023,-186.695
-514.095,-185.612
-516.327,-183.448
-539.390,-187.777
-534.926,-184.530
-555.757,-186.695
-552.781,-187.777
-563.197,-185.612
-573.612,-187.777
-588.492,-187.777
-584.028,-193.188
-595.188,-188.859
-599.651,-188.859
-616.762,-198.600
-620.482,-192.106
-625.690,-200.764
-624.946,-202.929
-636.849,-198.600
-649.497,-193.188
-642.801,-154.226
-674.048,-202.929
-658.425,-201.847
-670.329,-195.353
-679.256,-201.847
-687.440,-202.929
-685.951,-201.847
-732.822,-201.847
-708.270,-201.847
-709.015,-202.929
-721.662,-200.764
-725.382,-206.176
-753.653,-201.847
-755.885,-209.423
-744.725,-211.587
-755.885,-206.176
-758.861,-202.929
-770.764,-208.340
-784.155,-207.257
-793.083,-219.163
-796.803,-215.916
-801.267,-219.163
-812.426,-226.739
-808.703,-225.656
-834.748,-211.587
-825.070,-181.283
-814.659,-191.024
-807.221,-193.188
-779.692,-185.612
-778.948,-178.036
-788.620,-173.707
-784.900,-170.460
-767.788,-168.296
-770.764,-161.802
-744.725,-155.309
-733.566,-155.309
-742.494,-150.979
-736.542,-147.733
-724.638,-148.815
-726.870,-146.650
-705.294,-145.568
-679.256,-147.733
-703.063,-142.321
-686.696,-141.239
-679.256,-136.910
-668.096,-141.239
-653.217,-141.239
-650.241,-134.745
-659.912,-140.157
-640.570,-142.321
-645.777,-144.486
-631.642,-129.334
-618.251,-97.948
-616.762,-135.828
-606.347,-135.828
-586.260,-127.169
-583.284,-129.334
-592.955,-128.252
-581.796,-129.334
-588.492,-129.334
-557.245,-123.923
-550.549,-125.005
-555.013,-120.676
-549.062,-125.005
-536.414,-122.840
-532.694,-122.840
-535.670,-126.087
-505.911,-127.169
-496.984,-120.676
-500.703,-115.265
-485.824,-117.429
-485.080,-119.594
-485.824,-120.676
-463.504,-117.429
-460.528,-120.676
-461.273,-121.758
-433.002,-128.252
-433.746,-126.087
-444.162,-118.511
-433.002,-119.594
-416.634,-88.208
-403.987,-100.113
-378.692,-119.594
-398.780,-115.265
-406.963,-116.347
-371.252,-112.018
-380.180,-106.606
-374.972,-109.853
-355.629,-109.853
-354.141,-110.935
-347.445,-109.853
-325.870,-108.771
-340.006,-110.935
-339.261,-110.935
-290.159,-108.771
-298.343,-108.771
-308.759,-108.771
-296.855,-109.853
-305.783,-106.606
-287.928,-108.771
-255.193,-105.524
-271.561,-104.442
-265.609,-108.771
-232.874,-102.277
-250.729,-108.771
-248.498,-109.853
-245.522,-112.018
-226.178,-110.935
-208.323,-110.935
-193.444,-107.688
-220.227,-82.796
-202.372,-84.961
-190.468,-110.935
-173.357,-101.195
-187.492,-101.195
-157.733,-92.537
-143.598,-97.948
-155.501,-101.195
-150.294,-95.783
-156.989,-95.783
-117.559,-94.701
-104.168,-91.454
-105.655,-92.537
-104.168,-93.619
-99.703,-94.701
-113.095,-95.783
-98.216,-94.701
-72.177,-89.290
-79.616,-88.208
-55.065,-89.290
-46.138,-89.290
-70.688,-86.043
-63.249,-90.372
-36.466,-89.290
-24.562,-78.467
-3.731,-54.657
-7.451,-44.917
-9.683,-64.397
-8.939,-50.328
2.964,-30.847
6.684,-21.106
24.539,4.868
42.395,10.279
35.699,25.431
47.603,58.982
49.834,105.520
43.139,112.013
78.105,150.975
73.641,165.045
70.666,210.500
84.801,225.653
96.705,261.367
98.193,298.165
110.840,301.412
104.888,328.469
120.511,328.469
139.855,337.126
118.280,351.196
134.647,334.962
127.207,338.209
162.918,359.855
150.270,326.305
180.773,314.399
175.565,315.482
181.517,302.493
200.861,289.506
194.165,287.342
192.676,283.013
221.691,275.437
229.875,274.355
239.547,272.190
235.827,262.450
241.035,261.367
255.914,251.627
267.074,255.956
266.330,258.120
265.586,249.463
293.113,248.380
300.552,242.969
284.928,245.133
286.417,244.050
302.784,247.297
321.384,246.216
348.910,242.969
330.311,240.804
329.567,244.050
338.495,246.216
356.350,277.602
366.765,306.823
372.717,266.779
382.389,275.437
368.997,281.930
392.060,291.672
379.413,305.742
387.597,308.988
431.491,318.728
431.491,320.892
421.819,330.633
423.307,331.715
427.027,343.621
438.186,347.949
461.249,344.702
461.994,344.702
467.945,347.949
490.264,343.621
467.201,343.621
473.153,353.361
499.936,345.785
502.912,341.455
516.303,333.879
524.487,329.551
510.351,338.209
525.231,321.975
543.086,337.126
537.879,364.184
550.526,317.646
569.125,311.152
580.285,307.905
581.029,310.069
575.822,301.412
578.053,289.506
595.164,290.589
617.483,285.177
601.116,281.930
612.276,285.177
631.619,273.273
626.411,271.109
633.107,263.533
662.865,266.779
656.914,271.109
668.074,261.367
667.329,260.286
677.745,248.380
668.817,246.216
695.600,241.887
699.320,233.228
700.808,237.557
715.687,229.981
718.663,239.723
729.822,278.683
733.543,237.557
726.103,244.050
739.495,234.310
755.118,228.900
763.302,234.310
760.326,226.734
768.509,226.734
781.156,235.393
785.620,227.817
798.268,226.734
796.780,228.900
813.147,221.323
819.843,223.487
814.635,226.734
823.563,229.981
842.162,225.653
848.858,228.900
850.346,224.570
860.762,223.487
869.689,232.146
878.620,229.981
889.773,218.077
882.335,224.570
882.335,216.994
909.121,208.337
903.166,184.525
881.593,184.525
891.263,198.595
865.969,227.817
865.225,182.361
860.762,182.361
842.906,175.868
835.467,169.374
848.858,174.785
833.978,169.374
819.099,170.457
799.756,168.291
801.244,149.892
803.476,160.715
799.012,161.798
787.852,163.962
782.645,156.387
