Tension,Corriente
27.515,-7.522
26.027,-7.306
-835.489,-63.259
-803.498,-63.367
-796.803,-51.030
-794.571,-39.233
-789.363,-32.847
-797.547,-31.224
-783.411,-28.518
-758.861,-25.921
-765.557,-25.380
-747.701,-23.864
-732.822,-22.782
-743.981,-21.700
-744.725,-20.726
-729.846,-20.293
-718.687,-19.968
-700.831,-19.535
-692.648,-18.669
-706.039,-18.994
-693.392,-18.778
-668.840,-16.938
-662.888,-13.150
-668.840,-17.587
-659.168,-16.830
-645.033,-16.505
-629.410,-16.180
-650.985,-15.639
-633.129,-15.639
-624.202,-15.531
-616.018,-15.206
-604.115,-14.665
-595.188,-14.340
-596.675,-14.557
-578.076,-14.665
-584.772,-14.557
-584.028,-14.665
-558.733,-14.449
-555.013,-14.340
-531.206,-13.799
-537.158,-13.907
-531.950,-14.232
-545.341,-14.124
-505.167,-12.825
-514.095,-9.362
-508.887,-14.016
-487.312,-13.475
-485.080,-12.933
-488.799,-13.042
-472.432,-13.907
-473.921,-12.717
-460.528,-12.717
-439.698,-12.284
-438.954,-12.717
-441.186,-12.717
-430.026,-12.609
-432.258,-12.392
-424.074,-12.068
-412.171,-12.068
-399.523,-11.959
-392.084,-12.068
-386.132,-11.959
-389.108,-11.851
-374.228,-11.743
-368.276,-12.609
-366.789,-13.583
-359.349,-12.500
-347.445,-11.310
-325.126,-7.955
-329.590,-12.284
-325.870,-11.959
-333.310,-11.959
-315.455,-11.959
-293.880,-11.202
-286.440,-11.094
-305.039,-10.661
-305.039,-11.526
-258.913,-11.851
-278.256,-11.094
-256.681,-11.094
-237.338,-10.444
-234.362,-10.877
-226.922,-10.228
-231.386,-10.444
-241.057,-10.769
-209.067,-10.769
-198.651,-10.336
-207.579,-10.661
-187.492,-10.336
-184.516,-11.310
-180.052,-11.418
-171.868,-10.552
-194.931,-6.873
-174.844,-10.444
-135.414,-10.228
-137.646,-9.687
-148.062,-9.903
-127.231,-9.578
-124.255,-9.578
-118.303,-9.795
-100.447,-9.362
-104.911,-9.362
-94.496,-8.929
-72.921,-9.145
-90.032,-8.604
-91.520,-9.254
-66.969,-8.821
-53.577,-8.929
-37.210,-8.496
-34.234,-8.171
-47.626,-8.388
-32.746,-7.630
-20.099,-8.388
-23.819,-7.522
-14.147,-6.440
3.708,-2.327
20.076,-2.760
17.844,-2.544
14.124,0.487
26.027,1.136
46.115,2.110
56.530,5.465
55.786,10.011
56.530,10.227
63.970,14.448
73.641,15.098
77.361,19.535
79.593,21.266
98.193,24.189
104.888,27.977
98.193,28.193
105.632,30.466
112.328,30.574
128.696,31.981
151.759,33.063
151.014,31.656
145.807,31.981
156.966,30.249
153.990,30.466
166.637,30.141
177.053,33.496
184.493,29.059
197.141,28.193
200.861,27.760
190.445,27.327
206.812,27.219
223.180,26.353
234.339,26.353
242.523,25.379
243.267,25.487
242.523,24.730
256.658,24.080
279.721,24.946
267.074,24.297
277.489,24.297
289.393,23.972
301.296,23.864
301.296,23.972
302.784,24.405
309.480,24.513
335.519,24.080
318.408,24.189
328.823,24.080
340.726,23.972
339.239,24.080
360.069,25.054
371.973,25.271
371.973,28.410
384.621,32.414
399.501,28.193
390.573,29.492
394.293,29.708
409.916,31.007
415.867,31.440
430.747,32.414
440.419,32.955
448.602,34.470
450.834,34.903
453.066,34.795
457.530,34.903
459.762,35.553
475.385,35.120
476.873,35.661
497.705,36.635
498.448,36.202
493.240,36.418
519.279,35.553
520.768,35.985
507.376,36.743
527.463,34.903
543.086,34.795
543.086,33.388
560.198,32.847
557.966,32.198
554.246,31.873
586.237,33.496
591.444,36.851
584.005,30.899
595.164,30.574
595.164,29.492
599.628,29.275
619.715,29.817
619.715,28.843
618.972,27.544
665.841,27.760
647.242,27.868
640.546,27.868
645.754,25.920
670.305,27.003
662.865,25.920
686.672,26.245
678.489,25.487
694.856,25.054
703.783,25.163
698.576,24.730
714.943,24.730
724.615,24.080
732.055,23.972
735.774,23.756
