Reference, Value, Footprint, Datasheet
"U4","OP77","Package_DIP:DIP-8_W7.62mm_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/OP77.pdf"
"R2","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"J1","Conn_01x03_Female","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J3","Conn_01x03_Male","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"U1","OP77","Package_DIP:DIP-8_W7.62mm_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/OP77.pdf"
"R1","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U2","TL082","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tl081.pdf"
"U3","OP77","Package_DIP:DIP-8_W7.62mm_LongPads","https://www.analog.com/media/en/technical-documentation/data-sheets/OP77.pdf"
"R13","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U6","4016","Package_DIP:DIP-14_W10.16mm_LongPads","http://www.ti.com/lit/ds/symlink/cd4016b.pdf"
"R12","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U5","4016","Package_DIP:DIP-14_W10.16mm_LongPads","http://www.ti.com/lit/ds/symlink/cd4016b.pdf"
"R7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R14","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R8","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R15","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV6","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R10","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R11","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV3","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV2","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV1","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV5","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV4","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R21","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R18","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U8","4016","Package_DIP:DIP-14_W10.16mm_LongPads","http://www.ti.com/lit/ds/symlink/cd4016b.pdf"
"R17","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R22","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R23","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV10","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R19","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R20","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV9","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV8","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"RV7","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R6","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U7","TL064","Package_DIP:DIP-14_W10.16mm_LongPads","http://www.ti.com/lit/ds/symlink/tl061.pdf"
"RV11","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R25","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R24","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV12","R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~"
"R27","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R26","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"LPC1","LPCXPRESSO_LPC1769","LPC:LPCXPRESSO_LPC1769",""
"J2","USB_B_Micro","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal","~"
